precision,recall,f1-score,support
1.0,1.0,1.0,8.0
1.0,1.0,1.0,12.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,20.0
1.0,1.0,1.0,20.0
1.0,1.0,1.0,8.0
1.0,1.0,1.0,12.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,20.0
1.0,1.0,1.0,20.0
1.0,1.0,1.0,8.0
1.0,1.0,1.0,12.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,20.0
1.0,1.0,1.0,20.0
1.0,1.0,1.0,8.0
1.0,1.0,1.0,12.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,20.0
1.0,1.0,1.0,20.0
1.0,1.0,1.0,8.0
1.0,1.0,1.0,12.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,20.0
1.0,1.0,1.0,20.0
1.0,1.0,1.0,8.0
1.0,1.0,1.0,12.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,20.0
1.0,1.0,1.0,20.0
1.0,1.0,1.0,8.0
1.0,1.0,1.0,12.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,20.0
1.0,1.0,1.0,20.0
1.0,0.875,0.9333333333333333,8.0
0.9230769230769231,1.0,0.9600000000000001,12.0
0.95,0.95,0.95,0.95
0.9615384615384616,0.9375,0.9466666666666668,20.0
0.9538461538461538,0.95,0.9493333333333334,20.0
1.0,1.0,1.0,8.0
1.0,1.0,1.0,12.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,20.0
1.0,1.0,1.0,20.0
1.0,1.0,1.0,8.0
1.0,1.0,1.0,12.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,20.0
1.0,1.0,1.0,20.0
